result_id,macro,raw_value,display_value,unit,rendered,source_artifact
pre2020_diff,\preTwentyTwentyDiff,0.1052017104697877,0.1052017104697877,sharpe_difference,0.105,outputs/robustness/subperiod_descriptive.csv
post2020_diff,\postTwentyTwentyDiff,-0.0756228536086354,-0.0756228536086354,sharpe_difference,\ensuremath{-}0.076,outputs/robustness/subperiod_descriptive.csv
covid_days,\covidDays,232.0,232.0,count,232,outputs/robustness/subperiod_descriptive.csv
tightening_days,\tighteningDays,460.0,460.0,count,460,outputs/robustness/subperiod_descriptive.csv
oos_years,\oosYears,16.55952380952381,16.55952380952381,years,16.6,outputs/performance/performance_summary.csv
ewma_mean_condition,\ewmaMeanCondition,116.26211,116.26211,count,116,outputs/covariance/conditioning_summary.csv
ewma_max_condition,\ewmaMaxCondition,504.86844,504.86844,count,505,outputs/covariance/conditioning_summary.csv
state1_condition,\stateOneCondition,61.425561,61.425561,condition_number,61.4,outputs/covariance/conditioning_summary.csv
state0_condition,\stateZeroCondition,36.846361,36.846361,condition_number,36.8,outputs/covariance/conditioning_summary.csv
between_state_max,\betweenStateMax,0.0015857198,0.15857198,%,0.16\%,outputs/covariance/covariance_audit.csv
three_state_mid_occupancy,\threeStateMidOccupancy,0.4537585619286169,45.37585619286169,%,45.4\%,outputs/robustness/hmm_diagnostics_by_spec.csv
three_state_min_neff,\threeStateMinNeff,486.5138614395545,486.5138614395545,count,487,outputs/robustness/hmm_diagnostics_by_spec.csv
equity_corr_min,\equityCorrMin,0.820724,0.820724,correlation,0.82,outputs/tables/correlation_matrix.csv
equity_corr_max,\equityCorrMax,0.919023,0.919023,correlation,0.92,outputs/tables/correlation_matrix.csv
a2_fallback_origins,\aTwoFallbackOrigins,4.0,4.0,count,4,outputs/covariance/covariance_audit.csv
argmax_tolerance_disagreements,\argmaxToleranceDisagreements,144.0,144.0,count,144,outputs/robustness/argmax_counterfactual.csv
refit_seed_changes,\refitSeedChanges,152.0,152.0,count,152,outputs/regimes/model_revision_stability.csv
reproduction_max_difference,\reproductionMaxDifference,1.4503620526795657e-11,1.4503620526795657e-11,scientific,\ensuremath{1.45 \times 10^{-11}},outputs/reproduction_comparison.json
reproduction_seed_disagreements,\reproductionSeedDisagreements,0.0,0.0,count,0,outputs/reproduction_comparison.json
