hac_lags,n,mean_daily_difference,annualized_arithmetic_difference,hac_standard_error_daily,ci95_lower_daily,ci95_upper_daily,ci95_lower_annualized,ci95_upper_annualized,t_statistic,p_value_two_sided,role
21,4173,1.2461879329787468e-07,3.140393591106442e-05,1.4371432655989398e-05,-2.804287161868416e-05,2.8292109205279906e-05,-0.007066803647908408,0.0071296115197305365,0.008671285339527048,0.9930814020083192,PRIMARY
5,4173,1.2461879329787468e-07,3.140393591106442e-05,1.4494568516454485e-05,-2.828421347040108e-05,2.8533451056996826e-05,-0.0071276217945410725,0.007190429666363201,0.008597620077921721,0.9931401761922488,sensitivity
42,4173,1.2461879329787468e-07,3.140393591106442e-05,1.4336250520244479e-05,-2.797391589972492e-05,2.8223153486320666e-05,-0.00704942680673068,0.007112234678552808,0.008692565264669775,0.9930644237244812,sensitivity
