metric,observed_difference,ci95_lower,ci95_upper,interval_excludes_zero,path_dependent,role
sharpe,0.020965518541842143,-0.07480402273503961,0.11470522431677732,False,False,CONFIRMATORY
sortino,0.037884951269408385,-0.10674909945487357,0.1784539254845507,False,False,secondary
ann_volatility,-0.0017544903048056781,-0.0032716321014983063,-0.0003251418460497943,True,False,secondary
cagr,0.00018341974895474955,-0.007540797620100874,0.007902998974719005,False,False,secondary
max_drawdown,-0.0002955759305843797,-0.015168895986216364,0.03075754444290754,False,True,secondary
calmar,0.000203495769680484,-0.10623744923120525,0.1826467173665478,False,True,secondary
