mean_block_days,role,observed_difference,ci95_lower,ci95_upper,interval_excludes_zero,bootstrap_sd
21,PRIMARY,0.020965518541842143,-0.07480402273503961,0.11470522431677732,False,0.047960523883840825
10,sensitivity,0.020965518541842143,-0.07541896753247353,0.11486277427380522,False,0.04837532162334556
42,sensitivity,0.020965518541842143,-0.07150586193152134,0.11502313398209099,False,0.047985469140606765
63,sensitivity,0.020965518541842143,-0.07131193605838163,0.11927798352464569,False,0.04872654609846155
