label,n_days,start,end,years,terminal_wealth,cagr,ann_volatility,sharpe,sortino,max_drawdown,calmar,var_95,var_99,es_95,es_99,best_day,worst_day,positive_days_pct,ann_half_turnover,ann_full_traded_notional,ann_cost_expenditure_bps,series,cost_bps,strategy
equal_weight,4173,2010-01-04,2026-08-06,16.58590006844627,6.219792027213936,0.11649934793047456,0.11896044063390003,0.8597618075066568,1.219077687301928,-0.2277574894187152,0.5115061121713507,0.011484923736399333,0.02029565782356548,0.017587707334586148,0.028545136521656286,0.06647017523039644,-0.0645217924852548,55.66738557392763,0.18881913566106373,0.37763827132212746,0.0,net,0.0,equal_weight
static_6040,4173,2010-01-04,2026-08-06,16.58590006844627,4.7493590295414965,0.09848921244224873,0.0978222032515254,0.855344805088556,1.2116171844208998,-0.2118335246947245,0.4649368535229849,0.009369272590087418,0.016671873202848093,0.014710596930845858,0.02450152870815982,0.05867238834514188,-0.054217295670861976,55.571531272465855,0.1440242150620842,0.2880484301241684,0.0,net,0.0,static_6040
static_minvar,4173,2010-01-04,2026-08-06,16.58590006844627,4.223448057964414,0.09074400366228375,0.08226901771847153,0.9140428588490644,1.306881623867541,-0.19144191699764002,0.4740027946095127,0.00791500181139153,0.013788834191539541,0.012100269119566394,0.019293858267082353,0.04243329497423565,-0.03864538974561271,55.49964054636952,0.1762738270864729,0.3525476541729458,0.0,net,0.0,static_minvar
rolling_lw_minvar,4173,2010-01-04,2026-08-06,16.58590006844627,4.020953480118143,0.08751764755113922,0.07884181304196577,0.9125515576173202,1.2995783307744562,-0.1739231857506922,0.503197127935491,0.0077200535739937225,0.013480425015281513,0.01160808010951491,0.018744486020670338,0.0401254212075568,-0.040191430350992485,55.8111670261203,0.1693822270101275,0.338764454020255,0.0,net,0.0,rolling_lw_minvar
ewma_scaled_minvar,4173,2010-01-04,2026-08-06,16.58590006844627,4.122285031934793,0.08915078639714036,0.07540851833898642,0.9704977904832578,1.3945228090288588,-0.17224547758406772,0.51757983807516,0.007310744256667021,0.01310486163078991,0.010978744189699286,0.017101701966164767,0.03632313636645046,-0.03726898519649746,55.73927630002397,0.9821201419623373,1.9642402839246746,0.0,net,0.0,ewma_scaled_minvar
regime_minvar,4173,2010-01-04,2026-08-06,16.58590006844627,4.082284834329257,0.08851066688288678,0.07709651804665328,0.9431810454449776,1.352032546879421,-0.17346592429699792,0.5102481495520939,0.007506881821569333,0.01353444107128822,0.011271943202801341,0.017806847395369557,0.03648633593675066,-0.03726936425098715,56.00287562904386,0.541885535043826,1.083771070087652,0.0,net,0.0,regime_minvar
equal_weight,4173,2010-01-04,2026-08-06,16.58590006844627,6.200373715324053,0.11628887661175646,0.1189602595467897,0.8581748514717843,1.2167447478957316,-0.22788509371830779,0.5102961089482356,0.011484923736399333,0.02029565782356548,0.01758881223167573,0.028546638661681428,0.06647017523039644,-0.0645217924852548,55.66738557392763,0.18881913566106373,0.37763827132212746,1.8881913566106372,net,5.0,equal_weight
static_6040,4173,2010-01-04,2026-08-06,16.58590006844627,4.7380447694366,0.0983312570338899,0.09782309821820302,0.8538652937610488,1.209441679599049,-0.2119362432204277,0.46396621710246555,0.009369272590087418,0.016671873202848093,0.014711788185327604,0.02450302879786718,0.05867238834514188,-0.054217295670861976,55.571531272465855,0.1440242150620842,0.2880484301241684,1.4402421506208418,net,5.0,static_6040
static_minvar,4173,2010-01-04,2026-08-06,16.58590006844627,4.211137136510149,0.09055204721333654,0.08226767563664632,0.9119126344217793,1.303730777678215,-0.19155926411855861,0.4727103522244304,0.00791500181139153,0.013788834191539541,0.012100486118786497,0.019293858267082353,0.04243329497423565,-0.03864538974561271,55.49964054636952,0.1762738270864729,0.3525476541729458,1.7627382708647288,net,5.0,static_minvar
rolling_lw_minvar,4173,2010-01-04,2026-08-06,16.58590006844627,4.009690383315027,0.08733374054451915,0.07884067733077654,0.9104143400111245,1.2964292294195499,-0.17403209801552788,0.5018254766814731,0.0077200535739937225,0.013480425015281513,0.011608486558373706,0.018744486020670338,0.0401254212075568,-0.040191430350992485,55.8111670261203,0.1693822270101275,0.338764454020255,1.693822270101275,net,5.0,rolling_lw_minvar
