label,metric,raw_value,display_value,display_unit,formatted
equal_weight,cagr,0.1160784250152899,11.607842501528989,%,11.61
equal_weight,ann_volatility,0.1189602276308705,11.89602276308705,%,11.90
equal_weight,sharpe,0.8565868167198655,0.8565868167198655,,0.857
equal_weight,sortino,1.2144092970305105,1.2144092970305105,,1.214
equal_weight,max_drawdown,-0.2280126791137728,-22.80126791137728,%,-22.80
equal_weight,calmar,0.5090875887536482,0.5090875887536482,,0.509
static_6040,cagr,0.0981733057000184,9.817330570001841,%,9.82
static_6040,ann_volatility,0.0978241658561096,9.78241658561096,%,9.78
static_6040,sharpe,0.8523843051673974,0.8523843051673974,,0.852
static_6040,sortino,1.207262431004782,1.207262431004782,,1.207
static_6040,max_drawdown,-0.2120389500262299,-21.203895002622993,%,-21.20
static_6040,calmar,0.4629965659039252,0.4629965659039252,,0.463
static_minvar,cagr,0.0903601055721232,9.03601055721232,%,9.04
static_minvar,ann_volatility,0.0822665438114814,8.226654381148139,%,8.23
static_minvar,sharpe,0.9097800155164056,0.9097800155164056,,0.910
static_minvar,sortino,1.300574050521467,1.300574050521467,,1.301
static_minvar,max_drawdown,-0.1916765960683457,-19.16765960683457,%,-19.17
static_minvar,calmar,0.4714196069086271,0.4714196069086271,,0.471
rolling_lw_minvar,cagr,0.0871498459590898,8.71498459590898,%,8.71
rolling_lw_minvar,ann_volatility,0.0788397583317411,7.8839758331741105,%,7.88
rolling_lw_minvar,sharpe,0.9082745644417248,0.9082745644417248,,0.908
rolling_lw_minvar,sortino,1.2932738394024637,1.2932738394024637,,1.293
rolling_lw_minvar,max_drawdown,-0.1741409975763954,-17.41409975763954,%,-17.41
rolling_lw_minvar,calmar,0.5004556489970564,0.5004556489970564,,0.500
ewma_scaled_minvar,cagr,0.0870166257735742,8.701662577357421,%,8.70
ewma_scaled_minvar,ann_volatility,0.0754018706726979,7.540187067269789,%,7.54
ewma_scaled_minvar,sharpe,0.944511697679595,0.944511697679595,,0.945
ewma_scaled_minvar,sortino,1.3555812512705188,1.3555812512705188,,1.356
ewma_scaled_minvar,max_drawdown,-0.1729834659222735,-17.29834659222735,%,-17.30
ewma_scaled_minvar,calmar,0.503034352500911,0.503034352500911,,0.503
regime_minvar,cagr,0.0873332657080445,8.73332657080445,%,8.73
regime_minvar,ann_volatility,0.0770852680269355,7.70852680269355,%,7.71
regime_minvar,sharpe,0.9292400829835668,0.9292400829835668,,0.929
regime_minvar,sortino,1.331158790671872,1.331158790671872,,1.331
regime_minvar,max_drawdown,-0.1744365735069798,-17.44365735069798,%,-17.44
regime_minvar,calmar,0.5006591447667369,0.5006591447667369,,0.501
