component,value
total change in net dSharpe (cap30 - cap40),0.02939501691222468
attributable to reduced cost drag,0.007813026141683554
attributable to gross (pre-cost) differences,0.021581990770541126
cost share of total,0.26579423869745433
gross share of total,0.7342057613025457
