cap,specification,sharpe_diff_gross,excess_return_diff_ann_gross,vol_diff_gross,vol_regime_gross,vol_rolling_gross,sharpe_diff_net,excess_return_diff_ann_net,vol_diff_net,vol_regime_net,vol_rolling_net,cost_effect_on_sharpe_diff
30%,cap_30pct,0.05221147859942299,0.005061474604002321,0.0003350812827749988,0.09093737042129203,0.09060228913851703,0.050360535455251654,0.00488933285885906,0.0003326809348903198,0.0909327699395128,0.09060008900462248,0.0018509431441713353
40%,primary,0.030629487828881863,0.0007775170658038404,-0.0017452949953483121,0.07709651804661749,0.0788418130419658,0.020965518543026973,3.140393596857147e-05,-0.0017544903048420935,0.0770852680268991,0.0788397583317412,0.00966396928585489
50%,cap_50pct,0.02629677722362489,0.0005776476706512239,-0.0013613535303648727,0.06835029932564679,0.06971165285601166,0.01693818357848398,-6.233821664901611e-05,-0.0013684017995491543,0.06834174748703814,0.0697101492865873,0.009358593645140911
